"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"AXISBANK","10-May-2019","30-May-2019","CE","440","0","0","0","277.7","0","296.7","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","900","0.6","0.7","0.6","0.65","0.65","0.65","13","140.5",".1","270000","3600","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","480","0","0","0","238.5","0","256.85","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","500","0","0","0","218.9","0","236.9","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","520","0","0","0","199.3","0","217","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","540","0","0","0","212.5","212.5","197.05","0","0","0","1200","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","560","0","0","0","160.65","0","177.15","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","570","0","0","0","202.85","0","167.2","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","580","0","0","0","141.7","0","157.2","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","590","0","0","0","198.5","0","147.25","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","600","0","0","0","160","160","137.3","0","0","0","19200","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","610","0","0","0","178.95","0","127.35","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","620","0","0","0","134","134","117.35","0","0","0","2400","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","630","0","0","0","159.65","0","107.4","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","640","0","0","0","108","108","97.5","0","0","0","1200","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","650","0","0","0","103","103","87.6","0","0","0","1200","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","660","81.15","87.4","80.25","83.7","83.7","83.7","7","62.53","7.09","10800","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","670","0","0","0","122.4","0","68.1","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","680","0","0","0","71.4","71.4","58.65","0","0","0","6000","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","690","0","0","0","83","83","49.6","0","0","0","2400","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","700","51","53","49","49.5","49","49.5","7","63.05","4.25","55200","1200","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","710","0","0","0","88.3","0","33.1","0","0","0","0","0","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","720","36.8","39.1","36.8","37.6","37.6","37.6","13","118.27","5.95","40800","1200","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","730","31","34.1","29.55","29.55","29.55","29.55","52","475.43","19.91","56400","18000","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","740","25.85","28.25","24.65","25.85","24.8","25.85","451","4148.46","143.58","260400","69600","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","750","21.2","23.25","20","21","20.1","21","540","5001.43","141.43","313200","10800","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","760","16.8","18.8","15.95","16.85","15.95","16.85","559","5215.6","117.52","602400","-38400","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","770","13.55","15.05","12.95","13.45","12.95","13.45","518","4873.35","87.03","475200","9600","735.05"
"AXISBANK","10-May-2019","30-May-2019","CE","780","10.6","11.95","10.05","10.55","10.05","10.55","377","3578.46","49.74","638400","27600","735.05"
