"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27000","0","0","0","2026.15","0","4076.7","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","33300","0","0","0","398.35","0","94.85","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27200","0","0","0","1933.05","0","3878.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27300","0","0","0","2070.8","0","3780.3","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27400","0","0","0","2104.55","0","3681.8","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27500","0","0","0","2025.3","0","3583.6","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27600","0","0","0","1947.4","0","3485.6","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27700","0","0","0","2116.35","0","3387.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27800","0","0","0","2037.5","0","3290.5","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","27900","0","0","0","1960.05","0","3193.5","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28000","0","0","0","2154.45","0","3096.9","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28100","0","0","0","2184.65","0","3000.75","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28200","0","0","0","2106.3","0","2905.15","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28300","0","0","0","2029.3","0","2810.1","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28400","0","0","0","1953.6","0","2715.7","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28500","0","0","0","1880.45","0","2622","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28600","0","0","0","1807.45","0","2529.1","0","0","0","0","0","-"
"BANKNIFTY","13-Jun-2019","04-Jul-2019","CE","28700","0","0","0","1734.8","0","2437.05","0","0","0","0","0","-"
